y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
Dragspel,-1.24547,-87.89746,1000.71621,124.64379,-0.00000,N/A,0.48889,2.56652,5474.11040,-89185.88088,False,False,2.49094
Dragspel,0.31212,485.00167,1001.09506,-30.64774,0.00000,Slussen,1.00622,0.52468,5472.64488,-89186.60923,False,False,-0.62425
Dragspel,1.86401,-1190.10219,1000.87238,-186.00150,-0.00000,Brinnelvägen 8,-0.61180,0.30004,5474.09330,-89187.34300,False,False,-3.72802
Dragspel,-0.26460,887.40262,1000.19289,26.55490,0.00000,Brinnelvägen 8,0.64184,1.01365,5474.45935,-89185.36147,False,False,0.52919
Serpent,-0.17703,-1649.94416,1000.35738,17.91656,-0.00000,Lindstedsvägen 24,1.09076,1.15018,5479.24299,-89187.68513,False,False,0.35406
Dragspel,1.76279,427.71520,1000.88715,-175.97556,0.00000,Slussen,2.01566,-2.72062,5473.57207,-89186.54530,True,False,-3.52559
Dragspel,-0.23573,-520.48483,1000.94211,23.82065,-0.00000,Slussen,0.38340,-2.07333,5476.28469,-89187.20866,False,False,0.47146
Nyckelharpa,2.08920,-1869.43520,1000.47157,-208.70373,-0.00000,KTH Biblioteket,2.58366,-2.12525,5477.72346,-89184.52523,False,False,-4.17840
Dragspel,1.34161,55.10319,1000.54673,-134.07703,0.00000,N/A,2.51922,-2.62126,5475.54480,-89182.92947,True,False,-2.68322
Nyckelharpa,0.27604,1688.45397,1000.28933,-27.41771,0.00000,Östra stationen,-0.11963,-0.50931,5478.97764,-89187.52562,True,False,-0.55207
Dragspel,1.23348,391.39767,1000.46073,-123.16003,0.00000,Slussen,-0.05191,-1.45663,5475.91604,-89187.08764,True,False,-2.46696
Dragspel,1.12726,762.51030,1000.50374,-112.31763,0.00000,Entrée,2.33349,-3.75266,5473.87124,-89187.40324,True,False,-2.25452
Serpent,1.49596,-1127.47098,1000.63649,-149.41057,-0.00000,Brinnelvägen 8,1.62690,-1.55856,5475.74521,-89186.55973,False,False,-2.99192
Dragspel,2.51378,-246.53142,1000.12569,-251.27992,-0.00000,Slussen,3.25347,-2.68793,5474.44808,-89186.12756,True,False,-5.02757
Serpent,2.88842,78.25172,1000.63384,-288.42174,0.00000,N/A,1.46590,-3.92437,5474.85359,-89185.36191,True,False,-5.77683
Nyckelharpa,1.71757,-1107.24811,1000.55249,-171.56311,-0.00000,Brinnelvägen 8,1.81861,-0.97414,5473.39951,-89185.46958,False,False,-3.43514
Dragspel,1.06291,212.96409,1000.99687,-105.85690,0.00000,N/A,-0.55224,-1.31087,5474.27609,-89187.00216,True,False,-2.12582
Nyckelharpa,0.24599,-99.56985,1000.75313,-24.32622,-0.00000,N/A,0.74320,-1.50300,5474.09311,-89186.84997,False,False,-0.49197
Dragspel,2.70599,-1837.80629,1000.98221,-270.22358,-0.00000,KTH Biblioteket,3.72468,-5.43240,5476.05918,-89185.18776,False,False,-5.41199
Nyckelharpa,-0.30749,551.70292,1000.75906,31.02521,0.00000,Slussen,-0.88045,0.13227,5478.43532,-89185.86228,False,False,0.61498
Nyckelharpa,1.17566,40.03159,1000.53999,-117.34449,0.00000,N/A,2.56198,-1.35265,5473.57781,-89185.77194,True,False,-2.35131
Dragspel,1.15000,1129.77587,1000.54429,-114.55720,0.00000,Brinnelvägen 8,3.72125,-1.01291,5475.80944,-89184.77292,True,False,-2.30000
Dragspel,1.64537,-1534.78623,1000.91003,-164.11290,-0.00000,Lindstedsvägen 24,3.58846,-1.28449,5474.74649,-89185.54694,False,False,-3.29074
Dragspel,0.13643,956.42274,1000.61025,-13.52990,0.00000,Brinnelvägen 8,-0.01765,0.05444,5474.04070,-89185.29623,True,False,-0.27285
Dragspel,2.92059,-623.99544,1000.75778,-291.67602,-0.00000,Entrée,1.26192,-1.96335,5474.66372,-89187.09882,True,False,-5.84119
Dragspel,0.74332,-1211.31981,1000.38445,-74.21327,-0.00000,Brinnelvägen 8,-0.29837,0.38726,5472.50061,-89186.18437,False,False,-1.48664
Serpent,0.34215,1006.63281,1000.52118,-34.16561,0.00000,Brinnelvägen 8,0.27274,0.76977,5473.23843,-89186.83124,True,False,-0.68431
Serpent,-0.66191,2270.75098,1000.87802,66.52127,0.00000,KTH Biblioteket,-1.10984,1.61928,5478.63564,-89187.77811,True,True,1.32381
Dragspel,-1.16496,396.48555,1000.18602,116.56110,0.00000,Slussen,-1.50871,0.05254,5472.31944,-89186.94239,False,False,2.32992
Dragspel,1.78426,-62.36951,1000.79113,-178.11285,-0.00000,N/A,0.74420,-2.17710,5472.10275,-89184.00399,True,False,-3.56851
Nyckelharpa,1.16978,-484.61543,1000.58738,-116.78378,-0.00000,Slussen,1.32654,-1.25006,5478.37639,-89185.19910,False,False,-2.33957
Serpent,-0.13676,-1260.58495,1000.87159,14.03653,-0.00000,Brinnelvägen 8,0.78324,1.14901,5476.13098,-89187.24536,False,False,0.27351
Dragspel,0.94241,-1383.79044,1000.71391,-93.78252,-0.00000,Lindstedsvägen 24,1.78124,-2.60431,5474.83381,-89184.11414,False,False,-1.88483
Nyckelharpa,0.97389,773.26559,1000.78588,-97.12642,0.00000,Entrée,0.08794,0.21329,5473.83657,-89187.04830,True,False,-1.94779
Nyckelharpa,0.71644,577.04515,1000.32082,-71.50954,0.00000,Slussen,-0.18929,-0.51062,5477.08208,-89187.82493,True,False,-1.43288
Serpent,1.46549,-1771.22022,1000.27384,-146.41726,-0.00000,Östra stationen,3.14366,-1.62302,5473.69827,-89184.46004,False,False,-2.93098
Serpent,0.83424,-967.00366,1000.61993,-83.04091,-0.00000,Entrée,-2.00646,-1.40124,5475.50215,-89185.99969,False,False,-1.66847
Dragspel,0.62441,1365.02082,1000.80319,-62.26935,0.00000,Lindstedsvägen 24,-0.58435,0.31780,5473.96353,-89184.17925,True,False,-1.24882
Nyckelharpa,0.33972,1574.16021,1000.67240,-33.67414,0.00000,Östra stationen,-0.67683,-0.50788,5476.59501,-89187.10026,True,False,-0.67944
Serpent,0.91985,956.21527,1000.38728,-91.88035,0.00000,Entrée,0.67438,-1.68244,5474.44071,-89185.25056,True,False,-1.83970
Dragspel,1.44807,1184.77474,1000.70741,-144.68491,0.00000,Brinnelvägen 8,1.41790,-4.44296,5473.61736,-89184.49857,True,False,-2.89614
Nyckelharpa,0.04070,215.87006,1000.73416,-3.82720,0.00000,Slussen,-0.37784,-1.44749,5477.22560,-89185.83086,False,False,-0.08140
Dragspel,1.15928,-609.29423,1000.46815,-115.60338,-0.00000,Slussen,0.75992,-2.37748,5474.58845,-89185.26320,False,False,-2.31855
Serpent,0.31128,1882.26965,1000.83841,-30.73821,0.00000,KTH Biblioteket,1.32313,-0.21069,5475.04054,-89183.90953,True,False,-0.62256
Serpent,0.94229,-132.44466,1000.55280,-93.93030,-0.00000,N/A,1.71315,1.35073,5475.91347,-89187.78895,False,False,-1.88458
Dragspel,3.55774,-1086.03515,1000.61987,-355.66091,-0.00000,Lindstedsvägen 24,2.27844,-2.66180,5472.16764,-89186.45666,True,False,-7.11547
Dragspel,0.69436,1046.53424,1000.66821,-69.28061,0.00000,Brinnelvägen 8,0.48882,0.22934,5473.76337,-89186.88609,True,False,-1.38873
Dragspel,2.54554,-908.49515,1000.84313,-254.10111,-0.00000,Brinnelvägen 8,1.18316,-2.55924,5473.80870,-89186.09343,True,False,-5.09108
Nyckelharpa,-0.74265,726.81497,1000.76744,74.55409,0.00000,Entrée,0.06642,0.33422,5476.49062,-89187.55470,False,False,1.48529
Dragspel,-0.26978,388.94425,1001.03649,27.46862,0.00000,Slussen,-2.06960,1.72013,5473.24812,-89186.27726,False,False,0.53955
Dragspel,0.70286,-879.11214,1000.52805,-70.22069,-0.00000,Entrée,0.59799,1.36589,5471.64825,-89185.59670,False,False,-1.40572
Nyckelharpa,0.75285,864.39494,1000.29698,-75.08580,0.00000,Entrée,1.13716,-0.38620,5474.11437,-89185.75565,True,False,-1.50570
Dragspel,1.29336,-1146.83332,1001.06737,-128.81341,-0.00000,Brinnelvägen 8,3.88125,-2.73899,5473.37641,-89185.39568,False,False,-2.58672
Serpent,0.38244,-128.61657,1000.50406,-38.08580,-0.00000,N/A,0.83420,0.44118,5474.84251,-89184.95842,False,False,-0.76487
Serpent,1.51699,-1318.33516,1000.77385,-151.27926,-0.00000,Lindstedsvägen 24,3.37159,-1.13550,5475.67505,-89185.09057,False,False,-3.03399
Dragspel,1.21614,612.84027,1000.94667,-121.06821,0.00000,Slussen,1.58891,-3.04536,5475.36212,-89185.42580,True,False,-2.43227
Serpent,-0.51446,-24.15190,1000.60251,51.61553,-0.00000,N/A,-0.32387,1.48569,5476.52022,-89188.07246,False,False,1.02891
Dragspel,0.88909,-497.57578,1000.30713,-88.62430,-0.00000,Slussen,-0.01336,-2.07274,5474.04296,-89185.00584,False,False,-1.77818
Nyckelharpa,1.42561,-1273.47582,1000.42125,-142.41382,-0.00000,Lindstedsvägen 24,1.60320,-1.65224,5475.70172,-89185.65233,False,False,-2.85123
Serpent,0.45906,1035.25422,1000.37976,-45.74267,0.00000,Brinnelvägen 8,1.09908,-0.63190,5475.13800,-89183.73336,True,False,-0.91812
Dragspel,1.79526,78.74304,1000.60544,-179.15669,0.00000,N/A,-0.03670,0.07009,5473.98966,-89185.71514,True,False,-3.59051
Serpent,1.33125,-456.82063,1000.72611,-132.77892,-0.00000,Slussen,2.88796,-0.57301,5474.64611,-89185.22766,False,False,-2.66251
Dragspel,1.29963,103.47331,1000.16366,-129.86407,0.00000,N/A,0.58303,0.19881,5475.23297,-89186.49981,True,False,-2.59926
Serpent,0.37417,529.01333,1000.83614,-37.12716,0.00000,Slussen,-1.60152,-2.91728,5476.62517,-89186.68545,False,False,-0.74835
Dragspel,0.03677,651.03618,1000.81299,-3.12514,0.00000,Entrée,1.12594,-2.14143,5474.04091,-89187.23999,False,False,-0.07354
Dragspel,1.03700,1744.51187,1000.28561,-103.65632,0.00000,Östra stationen,2.21226,-1.45948,5472.49660,-89185.72700,True,False,-2.07401
Dragspel,0.86926,-94.20040,1000.20309,-86.84164,-0.00000,N/A,-0.91733,-2.92526,5474.47603,-89186.99205,False,False,-1.73853
Nyckelharpa,2.14567,962.26408,1000.57368,-214.38909,0.00000,Entrée,2.44439,-1.33642,5478.55629,-89184.44269,True,False,-4.29133
Serpent,-1.47738,110.99864,1000.65259,148.09704,0.00000,Slussen,-1.16655,0.41287,5474.81141,-89184.93645,False,False,2.95476
Dragspel,0.64824,689.69772,1000.60051,-64.38271,0.00000,Entrée,1.94408,-1.67410,5475.59205,-89187.07853,True,False,-1.29649
Dragspel,-0.16552,695.96293,1000.30390,16.71075,0.00000,Entrée,-2.03577,1.79115,5474.20069,-89185.75321,False,False,0.33105
Serpent,0.74582,-353.44921,1000.70059,-74.22781,-0.00000,Slussen,0.64130,-0.79800,5475.29241,-89184.99932,False,False,-1.49165
Dragspel,1.52195,272.49848,1000.37093,-152.07540,0.00000,N/A,1.34677,-3.27757,5474.42858,-89187.75321,True,False,-3.04390
Dragspel,2.79797,178.03724,1000.60340,-279.75115,0.00000,N/A,2.96347,-3.44353,5472.34370,-89186.58525,True,False,-5.59594
Dragspel,1.41280,-1851.49322,1000.70436,-141.10186,-0.00000,Östra stationen,0.70657,0.31838,5473.89690,-89185.92996,False,False,-2.82561
Nyckelharpa,2.51600,-1680.19232,1000.66203,-251.31345,-0.00000,Östra stationen,2.58020,-2.98607,5473.63452,-89186.26831,False,False,-5.03199
Dragspel,0.51172,193.55166,1000.68144,-50.91449,0.00000,N/A,2.65056,-2.15610,5475.96809,-89185.56068,False,False,-1.02344
Nyckelharpa,1.59344,391.55609,1000.57806,-159.09213,0.00000,Slussen,1.57118,-1.02796,5479.19419,-89186.51091,True,False,-3.18688
Nyckelharpa,-0.00226,424.20180,1000.52589,0.45780,0.00000,Slussen,-0.04857,0.31831,5477.77451,-89187.13858,False,False,0.00453
Dragspel,1.15316,191.82843,1000.75834,-114.91479,0.00000,N/A,-1.26858,-2.32803,5474.91389,-89187.02071,True,False,-2.30631
Serpent,1.38075,-885.09661,1000.53136,-137.81146,-0.00000,Entrée,-0.89512,-2.07009,5473.74864,-89186.16872,False,False,-2.76149
Dragspel,0.38054,-728.84245,1000.81017,-37.49496,-0.00000,Slussen,0.61157,-0.78634,5474.15270,-89185.69863,False,False,-0.76108
Serpent,0.78991,-107.39313,1000.58553,-78.57667,-0.00000,N/A,2.69786,1.13494,5474.04406,-89185.27025,False,False,-1.57982
Dragspel,0.41073,-849.89841,1000.91089,-40.79543,-0.00000,Entrée,1.47038,0.34089,5473.71031,-89184.60843,False,False,-0.82146
Nyckelharpa,0.78639,-1953.11209,1000.64361,-78.39164,-0.00000,KTH Biblioteket,0.16796,-0.70239,5477.69985,-89184.50913,False,False,-1.57278
Dragspel,1.58895,-60.52650,1000.68957,-158.46855,-0.00000,N/A,1.85938,-1.51695,5475.65370,-89186.14974,True,False,-3.17790
Serpent,0.33609,132.58592,1000.62419,-33.42050,0.00000,N/A,0.91949,-0.84689,5475.31018,-89184.49726,False,False,-0.67218
Nyckelharpa,2.56448,571.79856,1000.50776,-256.23931,0.00000,Slussen,2.48610,-2.45366,5476.16908,-89186.69644,True,False,-5.12897
Dragspel,2.53927,-2023.99590,1000.69463,-253.45927,-0.00000,KTH Biblioteket,4.26725,-2.34853,5473.03773,-89186.51356,False,False,-5.07854
Dragspel,2.35563,-996.42594,1000.59000,-235.32138,-0.00000,Brinnelvägen 8,3.23476,-4.81662,5473.08286,-89186.09789,True,False,-4.71126
Dragspel,0.61949,337.66340,1000.71190,-61.73002,0.00000,Slussen,-1.67891,1.53631,5475.53410,-89186.44235,False,False,-1.23899
Serpent,1.85797,-1302.70690,1000.95161,-185.35995,-0.00000,Lindstedsvägen 24,3.66703,-2.14382,5477.85304,-89187.71970,False,False,-3.71594
Nyckelharpa,0.61279,-49.03472,1000.69020,-61.06339,-0.00000,N/A,-0.03204,-0.85667,5478.76441,-89185.43663,False,False,-1.22558
Serpent,0.40485,1633.73737,1000.55008,-40.27467,0.00000,Östra stationen,0.54219,0.48230,5476.51112,-89186.88836,True,False,-0.80970
Nyckelharpa,2.12195,-899.10149,1000.47280,-211.98413,-0.00000,Brinnelvägen 8,2.63378,-1.81687,5479.26750,-89184.78531,True,False,-4.24389
Dragspel,1.74171,279.31728,1000.09920,-174.11975,0.00000,N/A,2.51307,-3.03694,5474.47871,-89185.06931,True,False,-3.48343
Dragspel,0.94909,-454.79779,1000.62472,-94.48609,-0.00000,Slussen,2.33731,-0.46469,5473.05272,-89188.25626,False,False,-1.89818
Dragspel,0.90249,-1337.50092,1001.06896,-89.81615,-0.00000,Lindstedsvägen 24,-2.50021,-0.99471,5472.51205,-89185.91070,False,False,-1.80497
Nyckelharpa,0.41360,194.58079,1000.25935,-41.21542,0.00000,N/A,-0.60636,-0.88298,5479.64537,-89182.55186,False,False,-0.82719
Nyckelharpa,0.77397,115.49987,1000.39431,-77.16273,0.00000,N/A,-0.15848,-0.53087,5473.02962,-89185.71359,False,False,-1.54793
Dragspel,2.79243,1622.51429,1000.36861,-279.20448,0.00000,Lindstedsvägen 24,2.64425,-2.86946,5473.10123,-89187.73355,True,False,-5.58485
Dragspel,2.25373,-570.37511,1001.17294,-224.81530,-0.00000,Slussen,1.61081,-2.58109,5471.19189,-89184.08295,True,False,-4.50745
Serpent,2.37795,-529.92775,1000.67869,-237.62065,-0.00000,Slussen,3.38002,-2.44076,5475.96580,-89183.74129,True,False,-4.75591
Dragspel,0.15837,-170.26262,1000.77346,-15.55865,-0.00000,N/A,2.38545,0.44972,5474.52459,-89185.53161,False,False,-0.31673
Dragspel,0.12632,24.11874,1000.71865,-12.33551,0.00000,N/A,-0.20506,0.24509,5473.28072,-89186.37485,False,False,-0.25264
Serpent,-0.04701,-1314.43336,1000.47290,5.01932,-0.00000,Brinnelvägen 8,-0.61603,0.06063,5476.11288,-89185.53404,False,False,0.09402
Dragspel,2.38528,-434.39044,1000.92335,-238.27317,-0.00000,Slussen,3.37111,-1.79545,5473.45731,-89185.14922,True,False,-4.77056
Nyckelharpa,1.84891,-395.78739,1000.47388,-184.65129,-0.00000,Slussen,1.37903,-1.85013,5477.84900,-89185.56874,True,False,-3.69782
Dragspel,1.22281,-193.98449,1000.43211,-122.02380,-0.00000,N/A,1.66868,-0.49774,5472.53956,-89185.10938,True,False,-2.44562
Serpent,0.45178,577.42314,1000.40084,-45.11609,0.00000,Slussen,-1.23625,-3.96438,5475.06847,-89184.17532,True,False,-0.90356
Serpent,1.35124,-371.03204,1000.41532,-134.93161,-0.00000,Slussen,0.79386,-2.51329,5474.71027,-89184.53065,False,False,-2.70248
Dragspel,0.99738,1002.82314,1000.31764,-99.48958,0.00000,Brinnelvägen 8,2.89804,-1.40188,5471.92280,-89184.89558,True,False,-1.99476
Dragspel,-0.67021,1351.60376,1000.95078,67.27594,0.00000,Lindstedsvägen 24,-0.54583,0.81673,5474.27680,-89187.00208,False,False,1.34042
Serpent,1.76145,-1090.34336,1000.49176,-175.80500,-0.00000,Brinnelvägen 8,1.70508,-3.48524,5479.03137,-89185.92957,False,False,-3.52290
Dragspel,2.51696,-441.00042,1000.93672,-251.20206,-0.00000,Slussen,2.71030,-1.45111,5475.52024,-89185.51925,True,False,-5.03393
Dragspel,-0.39153,654.28916,1000.40416,39.25151,0.00000,Entrée,-2.18063,1.18063,5471.55958,-89185.38178,False,False,0.78306
Serpent,0.19141,1355.63041,1000.77904,-18.88395,0.00000,Lindstedsvägen 24,-0.17752,2.11868,5475.84196,-89181.76857,True,False,-0.38282
Dragspel,2.20444,538.63983,1000.15357,-220.36292,0.00000,Slussen,2.04236,-3.56750,5474.40659,-89186.08138,True,False,-4.40888
Nyckelharpa,2.17007,172.39279,1000.63524,-216.70860,0.00000,N/A,3.08898,-1.87950,5475.83570,-89187.77445,True,False,-4.34014
Serpent,0.21259,270.64623,1000.51705,-21.21199,0.00000,Slussen,-2.01754,-1.11291,5478.76053,-89187.39628,False,False,-0.42518
Dragspel,2.39942,-295.81086,1000.96607,-239.47116,-0.00000,Slussen,2.14692,-1.90636,5473.61297,-89185.82848,True,False,-4.79884
Serpent,0.56508,214.30226,1000.50792,-56.44961,0.00000,N/A,2.44508,0.19033,5474.25758,-89184.98714,False,False,-1.13015
Serpent,1.34815,-104.93832,1000.74941,-134.55537,-0.00000,N/A,-0.21706,-2.35712,5474.43222,-89184.80489,True,False,-2.69630
Dragspel,-0.29555,1706.20201,1000.71558,30.07940,0.00000,Östra stationen,-0.30780,0.45235,5475.47109,-89186.55770,True,False,0.59110
Dragspel,0.10823,290.77801,1000.55574,-10.45355,0.00000,Slussen,2.64747,-1.97131,5472.68777,-89185.72737,False,False,-0.21647
Dragspel,1.52454,-955.12180,1001.10669,-151.89963,-0.00000,Brinnelvägen 8,1.47168,-0.80419,5473.72323,-89185.23936,False,False,-3.04909
Dragspel,0.08104,195.06366,1000.65555,-7.69665,0.00000,N/A,1.22436,-1.21463,5472.22689,-89185.13018,False,False,-0.16208
Dragspel,0.92603,-433.81065,1000.49137,-92.41413,-0.00000,Slussen,0.74466,-0.93995,5474.14245,-89186.61138,False,False,-1.85206
Dragspel,0.80614,1833.71793,1000.45104,-80.51623,0.00000,Östra stationen,3.00618,-1.21778,5474.08169,-89185.53393,True,False,-1.61227
Dragspel,0.63453,373.36583,1000.97518,-62.94258,0.00000,Slussen,2.38874,-2.18571,5470.62195,-89184.73919,True,False,-1.26906
Nyckelharpa,-0.56484,-1306.03921,1000.60199,56.76628,-0.00000,Brinnelvägen 8,-0.72112,0.47325,5478.27565,-89185.12458,False,False,1.12967
Dragspel,1.56785,-1355.38120,1000.34807,-156.44070,-0.00000,Lindstedsvägen 24,2.36666,-2.71572,5473.71429,-89185.88130,False,False,-3.13570
Dragspel,0.91181,17.19860,1000.13808,-91.17090,0.00000,N/A,2.13509,-2.21439,5474.53416,-89184.91930,False,False,-1.82361
Dragspel,1.34066,640.42387,1000.63316,-133.91826,0.00000,Slussen,2.00910,-1.86298,5474.24077,-89186.35611,True,False,-2.68132
Dragspel,1.00059,-962.11329,1000.74908,-99.94080,-0.00000,Entrée,1.10938,-2.33018,5473.82217,-89184.43475,False,False,-2.00119
Dragspel,0.89893,597.92753,1000.84248,-89.38350,0.00000,Slussen,4.08506,-3.38014,5473.80112,-89184.61472,True,False,-1.79785
Dragspel,-0.31208,1458.92378,1000.66337,31.68892,0.00000,Lindstedsvägen 24,0.17251,-1.46128,5475.33720,-89185.72184,True,False,0.62415
Nyckelharpa,3.83616,-279.33505,1000.29094,-383.45035,-0.00000,Slussen,3.69178,-4.17017,5479.00254,-89185.66722,True,False,-7.67231
Nyckelharpa,1.28240,-776.47431,1000.41498,-128.05943,-0.00000,Entrée,1.17892,-0.88235,5476.18431,-89188.15138,False,False,-2.56480
Nyckelharpa,0.51782,129.40827,1000.50161,-51.58412,0.00000,N/A,0.08427,0.39546,5474.48883,-89188.36489,False,False,-1.03564
Serpent,1.82837,-905.93249,1000.89357,-182.48419,-0.00000,Entrée,1.88831,-2.22863,5474.51454,-89185.03452,False,False,-3.65674
Dragspel,0.78711,-173.79010,1000.98209,-78.21551,-0.00000,N/A,-0.61114,0.35111,5474.75317,-89187.15621,False,False,-1.57422
Dragspel,0.29873,2116.49530,1000.67857,-29.68337,0.00000,KTH Biblioteket,0.65253,1.15170,5477.08985,-89186.76792,True,True,-0.59746
ragspel,0.89926,208.25190,1000.75171,-89.49541,0.00000,N/A,0.71871,-0.49683,5472.46898,-89186.03622,True,False,-1.79852
Dragspel,2.24621,117.92847,1001.00426,-224.30027,0.00000,N/A,1.61471,-3.61680,5475.34682,-89187.08611,True,False,-4.49243
Dragspel,0.70249,577.45804,1000.86616,-69.91865,0.00000,Slussen,-0.46310,-3.02343,5473.59932,-89185.27356,True,False,-1.40498
Serpent,0.02258,-273.54845,1000.53836,-2.11594,-0.00000,N/A,1.56594,1.83973,5474.14625,-89184.61522,False,False,-0.04516
Dragspel,0.91166,-637.26737,1000.27885,-91.07608,-0.00000,Slussen,-0.58853,2.79142,5473.35675,-89185.23707,False,False,-1.82333
Dragspel,0.60082,1257.86725,1001.22370,-59.51602,0.00000,Brinnelvägen 8,1.96972,-2.15065,5472.61005,-89184.40394,True,False,-1.20163
Dragspel,0.59813,2497.64706,1000.71193,-59.42965,0.00000,KTH Biblioteket,-1.30458,-0.41299,5472.62972,-89186.51926,True,True,-1.19627
Nyckelharpa,1.15579,-818.81598,1000.69086,-115.27928,-0.00000,Entrée,1.39858,-1.10974,5474.93431,-89186.35996,False,False,-2.31159
Nyckelharpa,2.01820,-428.47053,1000.80625,-201.51806,-0.00000,Slussen,2.24815,-3.27620,5478.39994,-89187.79591,True,False,-4.03641
Dragspel,1.52793,347.30587,1000.77547,-152.28681,0.00000,N/A,1.44350,-0.41148,5473.21109,-89185.35601,True,False,-3.05585
Dragspel,0.90596,-204.07948,1000.39036,-90.22122,-0.00000,N/A,-0.05110,0.64504,5474.64981,-89186.68765,False,False,-1.81192
yckelharpa,2.00624,-84.54183,1000.52061,-200.46218,-0.00000,N/A,2.11866,-1.66808,5473.66632,-89186.19473,True,False,-4.01248
Nyckelharpa,0.26915,-563.53958,1000.51259,-26.74193,-0.00000,Slussen,-0.26336,0.05424,5474.75604,-89186.20508,False,False,-0.53830
Dragspel,0.36564,-198.31192,1000.93664,-36.28692,-0.00000,N/A,1.55251,-1.81676,5473.82346,-89185.99007,False,False,-0.73129
Nyckelharpa,1.46400,712.72960,1000.27208,-146.25297,0.00000,Slussen,1.74908,-0.30074,5476.31358,-89188.27914,True,False,-2.92800
Dragspel,1.74539,-1850.15872,1000.70606,-174.11118,-0.00000,KTH Biblioteket,1.88554,-2.08329,5474.49440,-89185.85437,False,False,-3.49077
Dragspel,1.67305,-813.41301,1000.49246,-167.17104,-0.00000,Entrée,0.78986,-1.49211,5471.97052,-89186.21696,False,False,-3.34610
Dragspel,1.72141,479.58648,1000.11448,-172.04496,0.00000,Slussen,5.09565,-1.13640,5475.79360,-89185.91059,True,False,-3.44282
Dragspel,-0.13379,-21.05963,1000.81178,13.69032,-0.00000,N/A,0.60501,0.03439,5473.49696,-89186.66197,False,False,0.26759
Dragspel,1.58025,-1169.89093,1001.16078,-157.45378,-0.00000,Brinnelvägen 8,-0.69120,0.04505,5475.56306,-89186.33702,False,False,-3.16050
Dragspel,0.11152,578.11653,1000.77221,-10.75993,0.00000,Slussen,1.25841,0.93528,5474.01769,-89184.89556,False,False,-0.22305
